beta,load_comb,d,f_cck,chi1,chi2,rho,d_lower,a_to_d_ratio,weight
4.00041285694756,traffic,750,40,0.1,0,0.005,16,3,0
4.17234817138281,traffic,750,40,0.2,0,0.005,16,3,0.2564
4.34621021474338,traffic,750,40,0.3,0,0.005,16,3,0.9295
4.51775841198438,traffic,750,40,0.4,0,0.005,16,3,1
4.68170413731315,traffic,750,40,0.5,0,0.005,16,3,0.7692
4.83077332604291,traffic,750,40,0.6,0,0.005,16,3,0.2564
4.95684678663662,traffic,750,40,0.7,0,0.005,16,3,0.0769
5.05311930772724,traffic,750,40,0.8,0,0.005,16,3,0
5.11697107268936,traffic,750,40,0.9,0,0.005,16,3,0
4.14323196549677,traffic,150,60,0.1,0,0.005,16,3,0
4.30715369067774,traffic,150,60,0.2,0,0.005,16,3,0.2564
4.47275199693413,traffic,150,60,0.3,0,0.005,16,3,0.9295
4.63641708834485,traffic,150,60,0.4,0,0.005,16,3,1
4.79318203016656,traffic,150,60,0.5,0,0.005,16,3,0.7692
4.93643295232366,traffic,150,60,0.6,0,0.005,16,3,0.2564
5.05869574262486,traffic,150,60,0.7,0,0.005,16,3,0.0769
5.1535812503324,traffic,150,60,0.8,0,0.005,16,3,0
5.21811008745436,traffic,150,60,0.9,0,0.005,16,3,0
4.06252235785535,traffic,300,60,0.1,0,0.005,16,3,0
4.23237172751123,traffic,300,60,0.2,0,0.005,16,3,0.2564
4.40412676257168,traffic,300,60,0.3,0,0.005,16,3,0.9295
4.57371734490278,traffic,300,60,0.4,0,0.005,16,3,1
4.73583314352548,traffic,300,60,0.5,0,0.005,16,3,0.7692
4.88333200210302,traffic,300,60,0.6,0,0.005,16,3,0.2564
5.00820349260579,traffic,300,60,0.7,0,0.005,16,3,0.0769
5.10375575728076,traffic,300,60,0.8,0,0.005,16,3,0
5.16714513939553,traffic,300,60,0.9,0,0.005,16,3,0
4.01540823968871,traffic,450,60,0.1,0,0.005,16,3,0
4.18705334454723,traffic,450,60,0.2,0,0.005,16,3,0.2564
4.36061722638189,traffic,450,60,0.3,0,0.005,16,3,0.9295
4.53189012083515,traffic,450,60,0.4,0,0.005,16,3,1
4.69556748179981,traffic,450,60,0.5,0,0.005,16,3,0.7692
4.84438937548071,traffic,450,60,0.6,0,0.005,16,3,0.2564
4.97023776971237,traffic,450,60,0.7,0,0.005,16,3,0.0769
5.06632783223819,traffic,450,60,0.8,0,0.005,16,3,0
5.13001196600189,traffic,450,60,0.9,0,0.005,16,3,0
4.00528936315069,traffic,600,60,0.1,0,0.005,16,3,0
4.17719417484162,traffic,600,60,0.2,0,0.005,16,3,0.2564
4.35102212496858,traffic,600,60,0.3,0,0.005,16,3,0.9295
4.52253128957488,traffic,600,60,0.4,0,0.005,16,3,1
4.68643134871271,traffic,600,60,0.5,0,0.005,16,3,0.7692
4.83544453164484,traffic,600,60,0.6,0,0.005,16,3,0.2564
4.9614485577569,traffic,600,60,0.7,0,0.005,16,3,0.0769
5.0576406814201,traffic,600,60,0.8,0,0.005,16,3,0
5.12140572584564,traffic,600,60,0.9,0,0.005,16,3,0
4.0004486935155,traffic,750,60,0.1,0,0.005,16,3,0
4.17237954631088,traffic,750,60,0.2,0,0.005,16,3,0.2564
4.34623737229006,traffic,750,60,0.3,0,0.005,16,3,0.9295
4.51778219286544,traffic,750,60,0.4,0,0.005,16,3,1
4.68172549818017,traffic,750,60,0.5,0,0.005,16,3,0.7692
4.83079353286209,traffic,750,60,0.6,0,0.005,16,3,0.2564
4.95686770423392,traffic,750,60,0.7,0,0.005,16,3,0.0769
5.05314394539961,traffic,750,60,0.8,0,0.005,16,3,0
5.11700278318655,traffic,750,60,0.9,0,0.005,16,3,0
4.13294497006671,traffic,150,80,0.1,0,0.005,16,3,0
4.2954557530774,traffic,150,80,0.2,0,0.005,16,3,0.2564
4.45953386878204,traffic,150,80,0.3,0,0.005,16,3,0.9295
4.62158605159363,traffic,150,80,0.4,0,0.005,16,3,1
4.77689856296691,traffic,150,80,0.5,0,0.005,16,3,0.7692
4.91905319443935,traffic,150,80,0.6,0,0.005,16,3,0.2564
5.04083858933218,traffic,150,80,0.7,0,0.005,16,3,0.0769
5.13603965103318,traffic,150,80,0.8,0,0.005,16,3,0
5.20164380105187,traffic,150,80,0.9,0,0.005,16,3,0
4.08038677629852,traffic,300,80,0.1,0,0.005,16,3,0
4.24752232933338,traffic,300,80,0.2,0,0.005,16,3,0.2564
4.41645824428522,traffic,300,80,0.3,0,0.005,16,3,0.9295
4.58330265735116,traffic,300,80,0.4,0,0.005,16,3,1
4.74296472595705,traffic,300,80,0.5,0,0.005,16,3,0.7692
4.88858229570166,traffic,300,80,0.6,0,0.005,16,3,0.2564
5.01243343278721,traffic,300,80,0.7,0,0.005,16,3,0.0769
5.10797731592522,traffic,300,80,0.8,0,0.005,16,3,0
5.1723357893755,traffic,300,80,0.9,0,0.005,16,3,0
4.05532458301159,traffic,450,80,0.1,0,0.005,16,3,0
4.22507531005325,traffic,450,80,0.2,0,0.005,16,3,0.2564
4.39673458619423,traffic,450,80,0.3,0,0.005,16,3,0.9295
4.56626147494553,traffic,450,80,0.4,0,0.005,16,3,1
4.72834154496171,traffic,450,80,0.5,0,0.005,16,3,0.7692
4.87585500304207,traffic,450,80,0.6,0,0.005,16,3,0.2564
5.0008089073422,traffic,450,80,0.7,0,0.005,16,3,0.0769
5.09652048752545,traffic,450,80,0.8,0,0.005,16,3,0
5.1601326809211,traffic,450,80,0.9,0,0.005,16,3,0
4.01641330477465,traffic,600,80,0.1,0,0.005,16,3,0
4.18755313593775,traffic,600,80,0.2,0,0.005,16,3,0.2564
4.36061947228502,traffic,600,80,0.3,0,0.005,16,3,0.9295
4.53148630658931,traffic,600,80,0.4,0,0.005,16,3,1
4.69482035690106,traffic,600,80,0.5,0,0.005,16,3,0.7692
4.84342975206273,traffic,600,80,0.6,0,0.005,16,3,0.2564
4.96922092456841,traffic,600,80,0.7,0,0.005,16,3,0.0769
5.06543994122711,traffic,600,80,0.8,0,0.005,16,3,0
5.12938296434258,traffic,600,80,0.9,0,0.005,16,3,0
4.00353087927498,traffic,750,80,0.1,0,0.005,16,3,0
4.17520091445544,traffic,750,80,0.2,0,0.005,16,3,0.2564
